NAME,BOYS 2012 RANK,GIRLS 2012 RANK,BOYS 2022 RANK,GIRLS 2022 RANK
Zayne,596,N/A,416,N/A
Zechariah,661,N/A,989,N/A
Zeke,874,N/A,610,N/A
Zelda,N/A,N/A,N/A,669
Zen,N/A,N/A,911,N/A
Zendaya,N/A,N/A,N/A,683
Zev,N/A,N/A,956,N/A
Zhuri,N/A,N/A,N/A,843
Zion,235,778,144,N/A
Zoe,N/A,30,N/A,38
Zoey,N/A,20,N/A,45
Zoie,N/A,571,N/A,N/A
Zora,N/A,N/A,N/A,846
Zoya,N/A,N/A,N/A,787
Zuri,N/A,654,N/A,194
Zyair,N/A,N/A,733,N/A
Zyaire,N/A,N/A,371,N/A
Zyon,N/A,N/A,871,N/A
